playlist_id,playlist_name,num_tracks,num_followers
0,Throwbacks,52,1
1,Awesome Playlist,39,1
2,korean ,64,1
3,mat,126,1
4,90s,17,2
5,Wedding,80,1
6,I Put A Spell On You,16,1
7,2017,53,1
8,BOP,46,2
9,old country ,21,1
10,abby ,72,2
11,VIBE,134,1
12,relax,9,1
13,sleep,13,1
14,90's ,103,1
15,New Songs,7,1
16,slow hands,105,1
17,Mom's playlist,79,1
18,SARAH,68,1
19,melancholy,85,1
20,mixtape,14,3
21,Sad Songs,15,1
22,fall '17,42,2
23,✔️,20,1
24,Twenty one pilots,7,1
25,run it,41,2
26,Winter 2014,26,1
27,smooth ,12,1
28,Yeet,81,7
29,groovy,40,1
30,Garage Rock,157,1
31,Running 2.0,97,1
32,acoustic,106,1
33,morning,17,1
34,good good,80,1
35,Good Vibes,70,1
36, indie rock,9,1
37,Hits,72,1
38,tb,53,1
39,Country,58,1
40,2020,85,6
41,Belters,209,1
42,Road Trippin',158,2
43,Country,21,1
44,taylor swift,33,3
45,angst,76,1
46,Running 2,11,1
47,Spring 2016,15,1
48,Country,32,1
49,Gospel,45,1
50,SB,55,1
51,Kevin,54,1
52,Christmas,15,5
53,NB,105,4
54,Smooth Jazz,5,1
55,Tennessee ,151,3
56,funky,19,1
57,spring 16,19,1
58,Gates,38,2
59,Favorite Songs,136,3
60,Ski,66,2
61,Country,13,1
62,hype,33,2
63,Awesome Mix,38,1
64,Elizabeth,105,1
65,PlayStation,133,1
66,Ashley,81,1
67,chill,8,1
68,xx,174,1
69,art class,18,1
70,Random Tunes,74,1
71,boat,26,1
72,spanish jams,197,1
73,new,34,1
74,CR,5,1
75,Run!!,14,2
76,winter '17,32,4
77,Workout,24,1
78,Traps ,16,1
79,Dope,16,1
80,Chill,66,1
81,rap,64,1
82,Gospel,25,1
83,Florida,69,2
84,Workout2,39,1
85,Gym,72,2
86,Zoned,42,1
87,relax,24,1
88,KPOP,66,1
89,80's,92,1
90,For the Road,103,2
91,R & B,68,3
92,Tom Petty,8,1
93,Catchy Songs,98,1
94,relax,124,1
95,roadtrippin,170,1
96,christmas,19,1
97,2012,233,1
98,Dave,81,1
99,bang bang. ,42,2
100,Disneyland,22,1
101,#boostyourrun,22,1
102,LUV,48,1
103,latin,177,1
104,JAMS,65,1
105,~Rando~,115,1
106,Party Rock!!,114,1
107,party people,62,2
108,The Piano Guys,69,1
109,Worship,132,1
110,Brasileiras,33,2
111,country,24,1
112,4/20,65,1
113,2016,19,1
114,Willie,23,1
115,beach,194,4
116,Gold Digger,12,1
117,Fall 2015,13,1
118,dance it out,38,1
119,greek,23,1
120,All the songs,103,1
121,Kyle,168,1
122,HALLOWEEN,20,1
123,w o r k o u t,245,1
124,party music,176,2
125,summer,53,1
126,XXXMas,50,1
127,BBG,26,1
128,bae,18,1
129,oldies,94,3
130,its lit,205,2
131,go to,99,1
132,Killin' It,10,1
133,October 2017,20,4
134,Rap/Pop,233,1
135,1990's ,53,1
136,Rap,32,1
137,GUACAMOLE,24,1
138,14,130,1
139,That New New,44,2
140,Relaxing,71,1
141,sleep,22,1
142,Get It!,109,1
143,bumps,37,1
144,picks,60,4
145,🤘🏼,46,1
146,Mashup,198,2
147,Ladies,10,1
148,Alt Jams,141,1
149,Reggae/Ska,34,3
150,Top hits,130,2
151,jazzy ,42,1
152,Pop,89,1
153,Emotional,29,1
154,Fall,50,1
155,ouch,24,1
156,Love Music,188,2
157,Bang Bang ,22,1
158,Solitude,102,3
159,feels,33,1
160,Silence,7,1
161,English ,161,2
162,Blues,41,1
163,pump,61,1
164,volleyball playlist ,46,5
165,september ,10,2
166,motown,55,7
167,folky,74,3
168,Rock alternativo,12,1
169,Summer Chill,134,2
170,Rap Classics,52,1
171,My favs,29,1
172,motivational ,41,1
173,Up Beat,95,1
174,Wes Anderson,16,1
175,Love,18,1
176,basic,141,1
177,Another,25,1
178,LIT!!!!!!!,70,1
179,YEET,21,2
180,🤤🤤,17,1
181,Summer Playlist,27,1
182,high,171,5
183,Music,85,1
184,Chill Alternative,50,1
185,feelz,121,5
186,Alexia,41,1
187,Mellow.,17,1
188,Britt,17,1
189,Christian Songs,66,2
190,Kendrick Lamar ,70,1
191,jesus jams,22,2
192,Daddy Issues,37,1
193,🔥🔥🔥🔥,14,1
194,sb2k17,130,1
195,Dance,68,1
196,2013,29,1
197,Spring16,57,1
198,soul,25,1
199,Best Songs of 2016,79,5
200,Ladies,14,1
201,Love ,46,1
202,Cash,64,1
203,#Workout,47,1
204,guitar.,10,2
205,running ,49,1
206,Shower,5,1
207,Saturn,44,1
208,Christmas music,90,1
209,Bus playlist,52,2
210,Xmas,123,1
211,My music,79,2
212,Latino,146,1
213,Mumford & Sons,17,1
214,This Is What You Came For,157,1
215,On the Run,41,2
216,Prayer,29,1
217,my country,148,1
218,party playlist,98,1
219,Funky,30,1
220,Musicals,68,1
221,Relax,15,1
222,Wedding,17,1
223,classics,120,10
224,Peace,115,3
225,Volleyball,80,1
226,Madness,111,1
227,ride,55,1
228,before my time,176,1
229,reggae,18,1
230,Summer of love,24,2
231,Everything,229,9
232,Hits,50,1
233,shower ,5,1
234,RUNNIN,43,1
235,My happy place,40,1
236,90s hits,48,1
237,Old songs,92,3
238,Korean,22,1
239,Go to ,124,1
240,Way Up,34,1
241,Tegan and Sara,151,18
242,Atlas,18,1
243,Elisa,123,1
244,Country,67,1
245,90s,62,1
246,eurotrip,67,1
247,Mine,18,1
248,Christmas 2016,25,1
249,Summer,31,1
250,TBT,31,1
251,beachy,28,1
252,country,96,1
253,Drank,78,4
254,Trip,37,2
255,Christmas Mix,32,22
256,TOP,66,1
257,rap god,37,1
258,#Relaxed,38,4
259,blue grass,88,1
260,brad paisley ,55,1
261,summer16,18,1
262,throwback,145,1
263,love,44,1
264,DA,188,4
265,SUMMER 2k17,120,1
266,Awesome mix vol. 1,12,1
267,POP,38,1
268,Road Trip Mix,35,1
269,Indie,27,1
270,Corridos,179,2
271,Mr. Brightside,22,1
272,shower,13,1
273,workout,17,1
274,old people,59,1
275,FUN,66,1
276,😍😍,12,1
277,Hockey,46,1
278,dank memes,5,1
279,🎵🎵,97,1
280,Legendary,55,1
281,mayer,58,4
282,Game Time,34,1
283,car tunes,108,1
284,lit,73,1
285,wrap,99,1
286,Chris,42,1
287,chill beats,26,1
288,kpop,48,1
289,mix,10,2
290,Blackout,35,1
291,country ,70,1
292,Disney,38,1
293,CHRISTMASSSSS,57,2
294,Aux,83,1
295,best christmas,47,2
296,Worship ,35,11
297,broadway,81,1
298,Vibe,49,1
299,Say My Name,34,1
300,car playlist,17,1
301,Music From Baz Luhrmann's Film The Great Gatsby,21,1
302,deep,105,1
303,Tame Impala,43,1
304,<3,48,2
305,Running,26,3
306,mixtape,29,1
307,rawr,24,1
308,lit songs ,17,1
309,upbeat,47,1
310,Good Day,51,1
311,AAA,56,1
312,Line Dances ,23,1
313,Spanish,6,1
314,randoms,38,1
315,Alright,29,2
316,Feelin' Myself,54,1
317,RAP,30,2
318,Covers,11,1
319,Acoustic,63,1
320,chill,26,2
321,bruno mars,31,1
322,stream,35,3
323,mix ,30,1
324,Me Like,74,3
325,Disney Jams,34,1
326,family,101,3
327,Walking on Sunshine,18,1
328,country,123,4
329,trap,89,3
330,electronic,179,1
331,The Drive,135,5
332,Julion alvarez,60,2
333,studying music,55,2
334,90s alternative,124,1
335,Litty ,143,2
336,oldies but goodies ,5,1
337,More Songs,8,1
338,((chris)),118,1
339,Worship,126,4
340,🇲🇽🇲🇽🇲🇽,23,1
341,( ͡° ͜ʖ ͡°),209,3
342,Dance mix,167,1
343,classic ,32,1
344,oldies,35,1
345,NEW,16,6
346,Chill music ,12,2
347,karaoke.,28,1
348,⚡️⚡️⚡️,202,1
349,Road,26,1
350,Latin Trap,83,1
351,Cali,59,1
352,frenchy,28,1
353,Thinking,23,3
354,Cruisin,64,1
355,throw backs,70,1
356,2017,38,1
357,boris,161,1
358,Meow,75,1
359,old songs ,54,1
360,pg,132,1
361,Breezeblocks,79,1
362,Favorite Songs,236,1
363,Classic Rock,101,1
364,Pregame,46,1
365,Chill Rock,128,15
366,High,9,1
367,Guilty pleasure,118,1
368,Everyday,25,1
369,Salsa clasica,60,1
370,CHRISTMAS,44,2
371,quiet,15,1
372,TRIPPIn,10,1
373,happy,63,2
374,oldies,122,1
375,Chill,82,1
376,Studying,88,1
377,Classic,22,1
378,country,69,1
379,Autumnal ,99,7
380,Throwbacks ,134,3
381,Traveling,54,1
382,spin,14,2
383,country 2017,31,2
384,*** good stuff,46,2
385,LM,27,1
386,Chill,23,1
387,sad,5,1
388,Party time,29,1
389,mb,174,2
390,Samba,30,1
391,tears.,68,3
392,Go To,88,1
393,Friday afternoon...,72,1
394,songs that make me think of you ,23,1
395,Congratulations,61,1
396,Party,152,1
397,Random,22,1
398,Comedy,16,1
399,RAVE,28,1
400,summer 2015,40,1
401,GET DOWN,170,4
402,JAZZ,129,1
403,Hype,210,4
404,⚡️,73,1
405,in my feels,214,1
406,90's,228,2
407,Piano Music,51,1
408,workout mix,9,1
409,90s hip hop,33,1
410,Metal,87,1
411,ashley,169,1
412,Country,189,2
413,Sweat.It.Out.,22,1
414,early 2000's,17,1
415,Get pumped ,12,1
416,West Coast Swing,44,1
417,Rock,17,1
418,june,18,1
419,Roadtrip,121,1
420,Smooth,109,1
421,1967,23,1
422,Old School,55,1
423,New,18,1
424,WORSHIP,122,1
425,Phone,10,1
426,yo,90,3
427,PT,113,4
428,car rides,111,1
429,Music.,41,7
430,Rent,28,1
431,Feels,94,1
432,goldie,84,1
433,Sad songs,29,1
434,DIEGO$,100,1
435,New years,44,1
436,Driving,151,2
437,April,199,1
438,OD,92,1
439,housewarming,174,2
440,car,24,1
441,chill out,203,4
442,rap mix,195,4
443,Kickin it,41,2
444,Chill Out,12,1
445,90s baby,24,1
446,Oldies,42,1
447,Classical,166,1
448,My favorites,26,1
449,Hyphy,16,1
450,Pump up songs,74,2
451,Beautiful Things,22,1
452,dance,77,2
453,my heart,159,1
454,issa playlist,159,1
455,Party,45,1
456,Country,240,1
457,roma,63,3
458,Intro,89,1
459,Dusk,102,2
460,slow,95,3
461,BUST A MOVE,18,2
462,Current jams,51,2
463,Fallout,32,1
464,2017,13,1
465,Punk,140,2
466,Homework,26,1
467,000,130,1
468,Good Times,140,4
469,new stuff,62,1
470,It's Christmas Time!,173,1
471,AA,142,1
472,Chill Sesh,139,1
473,SPRANG,51,1
474,Greatest Hits,24,1
475,elevator music,175,1
476,YOU,78,1
477,Reggaeton,12,1
478,Long Car Rides,60,1
479,Country favorites,51,1
480,Chill Out Music,99,1
481,Good songs,22,1
482,hip hop,6,2
483,vibes,241,1
484,INDY,21,1
485,90's,57,1
486,ODESZA,17,1
487,Good stuff,41,1
488,CHRISTMAS MUSIC,36,1
489,Isis,59,1
490,My baby,15,1
491,Melting Pot,218,2
492,Eminem ,34,1
493,Zombies,58,1
494,Mega Chill,27,1
495,OOOUUU,18,1
496,songs to sing in the shower,20,1
497,Narcos,25,1
498,modern rock,71,1
499,Wedding Dance Party,87,1
500,oldies,28,1
501,regaton ,28,1
502,tbd,52,1
503,Instrumental,25,2
504,Old School ,158,1
505,joSe :),54,1
506,💃🏽,71,1
507,Feels,32,1
508,favs rn,26,2
509,Chill Songs,85,3
510,feels,36,1
511,😻😻,32,3
512,Somber,33,1
513,Sunrise,46,1
514,Mix Tape,31,1
515,FNAF,36,2
516,smooth jams,188,13
517,Best EDM,44,1
518,Worship,14,1
519,hitS,55,2
520,😭😭,29,1
521,music,127,1
522,Upbeat Songs ,21,1
523,HOOD,152,2
524,poop,64,1
525,Tejano,139,1
526,Cinco De Mayo,127,6
527,Tripping,49,3
528,New School,137,1
529,now,36,2
530,Electronic Music,51,1
531,2000's ,6,1
532,Sleep,146,2
533,mix,34,1
534,New Music,13,1
535,halcyon,46,4
536,Wedding Cocktail Hour,25,1
537,chill  ,36,1
538,february '17,28,2
539,July 2013,28,17
540,Musica en español,52,1
541,SpRiNg BrEaK,33,1
542,vibin',68,1
543,Rock,87,1
544,vibes,77,1
545,Tropical,28,1
546,pregame,50,1
547,whatever,28,2
548,Mix Tape,19,1
549,Thug,41,1
550,Winter,34,1
551,Sleep~,33,1
552,Country,70,1
553,Reggae,215,2
554,Vibin,149,1
555,older songs,55,1
556,Crossfit,52,2
557,Work,70,1
558,Black,47,1
559,💛💛,238,1
560,Summer Party,178,4
561,chillen,45,1
562,Country summer,97,3
563,Top Hits,14,2
564,cheese,18,1
565,Country,138,2
566,Wedding,16,1
567,14,50,3
568,NICOLE,15,1
569,Relaxing Music,22,1
570,run,23,1
571,Disney!,19,1
572,bounce,177,3
573,Calming Music,81,2
574,kayla,18,2
575,Party mix,45,1
576,wake up,33,1
577,sound,31,1
578,sad,24,1
579,Mya,27,2
580,rock,48,1
581,main playlist,82,3
582,doo wop,63,1
583,nite,60,1
584,Main,192,1
585,🖕🏻,191,1
586,Wandering,205,3
587,Current,10,1
588,Wedding Dance Music,58,2
589,rap,83,1
590,Vibin',54,1
591,dad songs,19,1
592,2015,154,3
593,PARTY PLAYLIST,50,1
594,bomb,31,3
595,spring '17,35,1
596,maY!,59,1
597,Baby Making,55,1
598,ale,40,1
599,Sunny Days,15,1
600,Stuff,149,1
601,Up,35,1
602,Happy Happy Happy,44,1
603,Don't,82,1
604,Lent,23,1
605,turn up,97,3
606,Country,114,1
607,Songs I Like,124,3
608,Spring 2015,99,2
609,classic rock,68,1
610,70/80,54,1
611,Oldies,147,1
612,summer 17,81,1
613,Wedding Songs,43,1
614,indie rock ,62,1
615,Sierreño,43,3
616,study,136,4
617,Random,50,1
618,Christmastime,50,1
619,random songs,23,1
620,party,20,1
621,workout,101,1
622,mine,32,1
623,take me back,53,2
624,ROAR,14,1
625,old,90,1
626,teenage angst,120,3
627,Wave,58,1
628,Mixtape,21,1
629,80s,20,1
630,//new,62,1
631,house,61,1
632,ol skool,51,1
633,music,194,2
634,ROCK🎸,56,3
635,Workout,87,2
636,go-to,78,3
637,Classic,205,6
638,Various Artists – Majestic Casual - Chapter I,31,1
639,Grind,42,3
640,America,38,1
641,sleep,8,1
642,rap,104,1
643,VACATION,120,1
644,christmas,32,1
645,Dubstep,29,2
646,Pop,18,1
647,Gym,155,2
648,Mia,134,8
649,Musica,110,1
650,Australia Day,41,2
651,Slay,46,1
652,II,40,1
653,Arab,10,1
654,Take Me Back,44,5
655,Christmas Time,50,2
656,feel good,103,1
657,😈😈😈,124,8
658,Rock,64,1
659,Lifting ,164,1
660,Panda,91,2
661,Car Party,58,1
662,discovered,183,5
663,2000s hits,53,1
664,Workout,17,3
665,recommendations !! ,61,2
666,eclipse,30,1
667,classical,60,1
668,Feel Good,19,1
669,summer 2k17,59,2
670,cake ,47,1
671,lean,62,2
672,Chill,74,1
673,Say You Won't Let Go,156,9
674,Deep Thoughts,29,1
675,Dinner Party,6,1
676,Clubbin,107,1
677,For You,52,1
678,tb,13,1
679,Blues,44,1
680,Country Favorites,235,3
681,Work,16,1
682,twenty sixteen,89,1
683,Life ,185,1
684,Waltz,39,1
685,uhhhh,11,1
686,Throwback,43,1
687,Cinderella,121,1
688,😍😍😍,55,1
689,My Musics,235,1
690,Dark Side,52,1
691,Club,117,1
692,december,19,1
693,chill time,74,2
694,PARTY ,190,1
695,three,20,1
696,Alternativo ,32,1
697,Partay,89,1
698,rock songs,14,2
699,Lulu,183,2
700,Amy,72,1
701,Old songs ,38,1
702,Wedding Cocktail Hour,23,1
703,ALT,198,1
704,Drake,220,1
705,Wedding,23,1
706,MY FAV,5,1
707,party,10,1
708,pop,43,3
709,winter,24,1
710,my favorite songs,8,2
711,yoga,9,1
712,classic,122,1
713,Cody,83,1
714,raw,55,2
715,Band Music,44,3
716,Rave,35,1
717,Throwbacks,56,1
718,Swing,24,1
719,CARDIO,88,1
720,PARTY 1,51,2
721,throwback,40,1
722,running,68,1
723,Wet Dreamz,19,1
724,roadtrip 🚗,106,1
725,Feels,33,2
726,dubstep,23,1
727,Rock en español ,56,1
728,summer country,48,2
729,Pop,104,1
730,lit,133,1
731,Best of 2016,104,1
732,country,14,1
733,rap,91,3
734,2000s r&b,117,1
735,my songs ,46,1
736,Not Rap,28,1
737,fuego,35,1
738,spanish ,15,1
739,Best,42,3
740,will,195,3
741,Chill,40,2
742,Holiday Party,31,1
743,New ish,245,1
744,Running,75,1
745,Mad Men,70,1
746,EBM,21,1
747,2000s,79,1
748,Disney,85,1
749,Buena Vista Social Club,36,1
750,Summer 2016,33,2
751,xmas party,150,2
752,for you,138,1
753,Luke,26,1
754,L O V E ,88,1
755,Summer Country,50,1
756,kitchen,18,1
757,Yeah,16,1
758,Britney,35,1
759,ghetto,28,1
760,HARDCORE WORKOUT,110,1
761,#mood,39,2
762,Gospel Mix,45,1
763,Turnt,36,1
764,GOOD MUSIC ,18,1
765,Tangled,81,1038
766,music,85,1
767,The Mix,149,1
768,Fun,73,1
769,Elliot,157,1
770,summer 2016,67,1
771,Classical favorites,6,1
772,no,20,1
773,4th of july,126,1
774,Sugar,16,1
775,vibin,24,2
776,ha,35,1
777,christmas,19,1
778,electro,16,1
779,00s,85,1
780,Rage,23,1
781,New jams,121,1
782,Main Playlist,235,1
783,Christmas,17,1
784,Cruising,10,2
785,Girl Power,55,2
786,Summer 2016,59,1
787,Baes,7,1
788,ATL,30,1
789,Soulful  ,29,1
790,😴😴,20,3
791,Country,48,1
792,Pitch Perfect,16,1
793,feels,90,4
794,siesta,28,2
795,Shape of You,9,2
796,Country,48,1
797,Workout,47,1
798,mellow,34,1
799,Helene,33,1
800,Christian music,8,1
801,Runaway,57,1
802,work music,94,1
803,Country,204,1
804,Good Stuff,86,1
805,car playlist ,12,1
806,2K14,143,3
807,Summer drives,75,1
808,💸💸,113,1
809,Country,15,1
810,road trip ,10,1
811,musicals,234,1
812,Throwback,112,2
813,ease ~,41,1
814,Groovy,45,2
815,WORKOUT,189,1
816,Easy Listening ,97,1
817,Cancun,53,1
818,Star Wars,14,1
819, CHiLl,21,1
820,jan 2015,17,1
821,feel good,24,1
822,explicit,165,1
823,Broadway Baby,120,1
824,Worship,24,2
825,pregame,78,6
826,Hawaii,19,1
827,Roadtrip,24,1
828,.jams.,18,1
829,The Classics,35,2
830,Heat,16,1
831,My hits,76,2
832,Fix You,27,1
833,I workout!,128,1
834,Disney,19,2
835,everything,207,1
836,boujee,19,1
837,Country Mix,18,1
838,bird,121,2
839,Camp,69,1
840,rap,117,3
841,Deb,111,1
842,christmas,136,1
843,2016,221,3
844,nostalgia,150,1
845,english,12,1
846,empty,27,1
847,The Good Stuff,211,1
848,Local,200,2
849,chill,101,3
850,Lit🔥🔥,53,1
851,Indie Stuff,17,1
852,chill,49,1
853, Frozen,59,2
854,HER,218,3
855,Gospel,73,4
856,songs to dance to,16,1
857,study,132,2
858,summer 16',96,1
859,Hungover,179,1
860,work,50,1
861,Christmas Favorites,64,4
862,mood music,14,1
863,good vibes,48,1
864,I like these songs,72,1
865,Cha Cha,36,1
866,Worship,91,2
867,PURPLE,54,1
868,April 2016,22,1
869,My Heart,37,1
870,recovery,47,1
871,space jams,25,2
872,bored,29,1
873,Volleyball,31,1
874,Mixed,133,1
875,Jammin,42,1
876,Chidas,68,2
877,ELECTRONICAS,85,1
878,new new,9,1
879,Country,241,1
880,Working Out,26,1
881,EDC,62,1
882,run 2,6,1
883,Office,82,1
884,Songs I Love,41,2
885,SEPTEMBER 2017,59,1
886,BUMP,225,2
887,Reception,66,1
888,Old Rock,22,1
889,Edward Sharpe & The Magnetic Zeros,35,1
890,Two,6,1
891,Good music ,7,1
892,1980's,11,8
893,Country,135,1
894,playlist,20,1
895,Throwbacks,137,1
896,Classic Country,207,6
897,Thuggin,70,1
898,trending,45,1
899,Relax,54,1
900,My High-Intensity Workout,14,1
901,Sundays,47,3
902,sunday,42,1
903,Oldies,66,1
904,dance yrself clean,26,2
905,Sleep Music,11,1
906,DISCOVER,30,1
907,Lit,113,1
908,old but good,53,2
909,Awesome,14,1
910,Pump up,87,2
911,BEST SONGS EVER,41,1
912,old school,90,2
913,PARTY,134,1
914,dance,71,1
915,Alternative,8,2
916,Rock,89,1
917,Summer '16,40,1
918,Pearl Jam,162,1
919,petrichor,48,1
920,LITT ,146,1
921,Rock,112,1
922,Baby shower,12,1
923,beautiful,36,1
924,mine,103,1
925,John's Playlist,75,1
926,rock,61,1
927,Oldies,65,2
928,vibin,10,1
929,Move,18,1
930,Seduction,120,1
931,Fire,54,1
932,halloweenie,35,1
933,Reception,47,1
934,Love,36,1
935,Rock,44,1
936,Worship,37,3
937,hayley,26,1
938,Inspiration,56,1
939,<3,35,1
940,Playlist,49,2
941,2k17,140,1
942,R&B classics,94,3
943,Fall 2015,92,1
944,hoe anthems,31,2
945,the mix,26,1
946,summer '17,119,1
947,nashville,10,1
948,Christmas songs ,63,1
949,jamz,74,1
950,Summer 2016,55,2
951,stuff,9,1
952,The Greatest,10,1
953,#chill,70,2
954,country,24,1
955,country ,224,1
956,Classical,75,1
957,disney bops,39,1
958,top down,17,2
959,Rap Songs,21,1
960,Chillout ,59,1
961,Gospel,53,1
962,MERICA,80,1
963,Dubstep ,10,1
964,KILLA,135,1
965,hey,97,1
966,mello,12,1
967,spanish,11,1
968,death,162,4
969,Marshall ,35,2
970,Summer 2014,79,1
971,Rap it up,57,1
972,Slow Stuff,133,1
973,flow,17,1
974,Maui,140,1
975,Lit af,21,1
976,Neo,16,1
977,summer playlist,133,1
978,Dancehall,126,1
979,new,221,1
980,Gym,214,3
981,Chill,35,1
982,nc,56,1
983,2pac,100,1
984,Pump up,203,1
985,Party Playlist,79,1
986,New Music,69,1
987,Dancing on my own,172,1
988,New,14,1
989,David,33,1
990,Michelle ,87,1
991,Bad and Boujee,19,1
992,R&B,126,1
993,🌈🌈🌈,38,1
994,FALL 2013,61,1
995,old,41,1
996,Daze,17,1
997,rap,119,1
998,Country,108,1
999,thinking of you,44,1
1000,disney,189,1
1001,Indie Electro,165,2
1002,jack & jack,17,1
1003,vibes,225,2
1004,Indie,165,1
1005,college,28,1
1006,Summer 15,80,2
1007,New music,58,1
1008,Now,84,3
1009,Jams,41,1
1010,Party Mix,74,2
1011,LOCO,97,18
1012,Bruno Mars,18,1
1013,Breezy,67,1
1014,Fall 16,83,3
1015,SLO,53,1
1016,BANGAZ,198,1
1017,Piano Music,29,1
1018,Beach Music,130,14
1019,Slow jamz,43,1
1020,vaporwave,17,1
1021,Bassnectar,106,1
1022,Christmas,29,1
1023,Moo,35,1
1024,👑👑👑,7,1
1025,random,207,2
1026,Heavy Metal,24,1
1027,pr,28,1
1028,misc.,140,1
1029,Beats,19,1
1030,Piano Guys,33,1
1031,humble. ,13,1
1032,❤❤❤,38,1
1033,worship,52,1
1034,golden,9,1
1035,CUMBIAS,162,1
1036,Wedding Playlist,47,1
1037,work out,78,1
1038,car,5,1
1039,COUNTRY ,108,1
1040,Christian,16,1
